mean_score,median_score,std_score,var_score,min_score,max_score,ip_count,is_non_csnp,is_artefact
0.09705305,0.04641954,0.109491676,0.011988427,0.0051917047,0.45153275,227,False,False
0.08453844,0.041907117,0.09861185,0.009724296,0.0050948546,0.48854926,233,False,False
0.08917417,0.038595922,0.10878934,0.01183512,0.005084443,0.512739,242,False,False
0.09501659,0.04265939,0.11390579,0.012974528,0.0050209602,0.52839756,247,False,False
0.08821857,0.036533162,0.10749058,0.0115542235,0.0050121085,0.5088044,238,False,False
0.09790181,0.052701082,0.11102254,0.012326005,0.0050424347,0.5628501,228,False,False
0.10670635,0.046077643,0.122913435,0.015107713,0.00509878,0.6009783,237,False,False
0.09382245,0.04173579,0.11201732,0.0125478795,0.0050238003,0.5164817,248,False,False
0.091771275,0.036425903,0.10993663,0.012086064,0.0050443863,0.46155322,242,False,False
0.09296022,0.04222211,0.11353496,0.012890186,0.005002611,0.5040105,226,False,False
0.09204259,0.039785497,0.10936006,0.011959624,0.0050011845,0.526149,216,False,False
0.083673716,0.03199148,0.10125751,0.010253084,0.0050374167,0.4343072,218,False,False
0.09257263,0.041040964,0.11115584,0.01235562,0.0050177416,0.51183337,212,False,False
0.09598784,0.044575185,0.11753461,0.013814383,0.0050819097,0.65264904,230,False,False
0.09048817,0.037192143,0.10794113,0.011651288,0.005026595,0.5072468,213,False,False
0.09165681,0.04317661,0.10454857,0.010930404,0.005015574,0.4735171,215,False,False
0.09222407,0.04146525,0.11131451,0.012390921,0.0050726878,0.5266148,233,False,True
0.10451363,0.053256705,0.11956665,0.014296183,0.0050152177,0.56782854,245,False,False
0.10270938,0.05751305,0.115774035,0.013403628,0.00501647,0.5577584,254,False,False
0.101796694,0.053852323,0.11651957,0.01357681,0.005113973,0.57092845,247,False,False
0.095826246,0.048872635,0.110569194,0.012225547,0.005077893,0.5214351,251,False,False
0.09139104,0.05605405,0.0999324,0.009986484,0.005024736,0.48383772,232,False,False
0.104272254,0.06206436,0.11866393,0.014081129,0.0050015324,0.5810406,225,False,False
0.10813329,0.048728872,0.12525107,0.01568783,0.0050445823,0.56039256,245,False,False
0.09345247,0.05273471,0.10203954,0.010412068,0.005259654,0.48345342,233,False,False
0.098075375,0.046510816,0.11428004,0.013059927,0.0050010914,0.5471803,255,False,False
0.09912861,0.045355782,0.113027774,0.012775278,0.0050243833,0.6988155,238,False,False
0.09099469,0.042895943,0.11007955,0.012117507,0.0050979084,0.5439555,240,False,False
0.096687205,0.04593904,0.11692578,0.013671638,0.005043552,0.52449423,234,False,False
0.09322347,0.040686645,0.112276666,0.012606049,0.005086933,0.5484409,248,False,False
0.09506708,0.047721613,0.11767496,0.013847396,0.005008228,0.59147096,247,False,False
