,index,mean_score,median_score,std_score,var_score,min_score,max_score,ip_count
74,74,0.08495316,0.040245414,0.09755299,0.009516587,0.0050333305,0.5336017,194
75,75,0.094572596,0.039657257,0.11625863,0.013516069,0.005150517,0.5031008,202
76,76,0.0821446,0.041658584,0.09439934,0.008911235,0.0050891936,0.4580498,207
77,77,0.09543398,0.04154696,0.10949878,0.011989982,0.005063136,0.5064504,175
78,78,0.08619145,0.03476361,0.095568895,0.009133413,0.005246997,0.41049042,188
79,79,0.08555772,0.04255066,0.102789514,0.010565684,0.0051519047,0.5090012,192
80,80,0.078342736,0.03313913,0.09885811,0.009772926,0.005044755,0.5108535,180
81,81,0.09423782,0.03798155,0.1113787,0.012405214,0.0051083,0.55279887,169
82,82,0.077548526,0.028509727,0.09753307,0.009512699,0.005018616,0.4655091,165
83,83,0.08170128,0.043348543,0.09206461,0.008475892,0.005146566,0.477476,160
84,84,0.077122,0.038234364,0.0986272,0.009727324,0.0051018265,0.53391725,164
85,85,0.08026408,0.026972067,0.10411782,0.01084052,0.005018401,0.5047166,181
86,86,0.08165903,0.037276655,0.099293575,0.009859214,0.0051587983,0.48254442,187
87,87,0.09067797,0.04390392,0.10444582,0.01090893,0.0050344304,0.7151118,186
88,88,0.08414106,0.045629736,0.10671526,0.011388147,0.005003249,0.53016746,191
89,89,0.095669486,0.043262962,0.10837529,0.011745203,0.005114762,0.50667375,199
90,90,0.09930744,0.0597533,0.10608726,0.011254507,0.005156024,0.57048213,182
91,91,0.09129558,0.047877386,0.104943335,0.011013104,0.0052930843,0.4691157,211
92,92,0.09197363,0.03623055,0.109199636,0.011924561,0.005005759,0.59311455,200
93,93,0.098919295,0.047075305,0.11393915,0.012982131,0.0051070405,0.5135715,201
94,94,0.08352758,0.044405323,0.09677074,0.009364576,0.0050306343,0.5299136,225
95,95,0.103603765,0.050835896,0.11784472,0.013887378,0.0050725634,0.56749433,223
96,96,0.10511232,0.049486525,0.12310508,0.015154861,0.005013982,0.55202013,211
97,97,0.09660112,0.041918837,0.1087583,0.011828368,0.0050490336,0.43630952,200
98,98,0.12055584,0.057461295,0.1339212,0.017934889,0.005021964,0.5689653,166
99,99,0.09689723,0.046246465,0.117265955,0.013751305,0.0051131183,0.5591902,179
100,100,0.092714384,0.02818436,0.11466788,0.013148721,0.0050556837,0.5103401,173
101,101,0.10580168,0.058054715,0.11302749,0.012775214,0.005197731,0.47379994,187
102,102,0.09886524,0.03610915,0.12680942,0.01608063,0.0056488584,0.55176693,184
103,103,0.094135374,0.03769927,0.109786496,0.012053075,0.0050354674,0.43452227,199
104,104,0.09859385,0.04236345,0.11870729,0.014091422,0.0050835866,0.48037037,199
105,105,0.09207763,0.04527768,0.10882643,0.011843191,0.0050177667,0.44054505,231
106,106,0.10496937,0.058865625,0.11336461,0.012851534,0.005119401,0.45630693,212
107,107,0.09446715,0.034231197,0.12316496,0.015169607,0.005034807,0.59527326,220
108,108,0.108933605,0.0462898,0.12827694,0.016454976,0.0050763204,0.6295808,218
109,109,0.090784706,0.04212269,0.11050678,0.012211748,0.005045175,0.4555257,211
110,110,0.086823575,0.039431237,0.09594567,0.009205571,0.005045705,0.4826527,208
111,111,0.086434595,0.032561567,0.10348309,0.010708749,0.005009925,0.4443433,229
112,112,0.09159662,0.039223604,0.110168494,0.012137096,0.0051575797,0.51236755,247
113,113,0.09213485,0.040392496,0.106660195,0.011376398,0.005161364,0.58221257,217
114,114,0.08872772,0.037785195,0.11047721,0.012205214,0.005007462,0.49804264,179
115,115,0.06404357,0.022356968,0.09074762,0.00823513,0.0050165458,0.4710757,150
116,116,0.062432744,0.025049442,0.078767166,0.0062042666,0.00500526,0.3566489,125
117,117,0.075976714,0.041042898,0.0896029,0.0080286795,0.005089712,0.39027962,132
118,118,0.07162333,0.027846707,0.090495154,0.008189373,0.005020021,0.38521114,139
119,119,0.06967074,0.02719218,0.09076208,0.008237755,0.005158909,0.4090819,121
120,120,0.07907093,0.030820357,0.099763945,0.009952845,0.00549736,0.43092474,111
121,121,0.07181543,0.03303699,0.08818009,0.0077757277,0.0052213767,0.44822797,132
122,122,0.083574414,0.036076464,0.10283137,0.0105742905,0.0050114514,0.44912344,143
123,123,0.08334011,0.031915512,0.100453064,0.010090819,0.005013605,0.36695313,129
124,124,0.07807365,0.038186044,0.092931636,0.008636289,0.005164238,0.4518795,157
125,125,0.090872444,0.035972513,0.1154374,0.013325794,0.0050072204,0.67282313,154
126,126,0.08160998,0.035016656,0.106857225,0.011418466,0.0051528164,0.5199859,189
127,127,0.083612345,0.037434757,0.09805882,0.009615532,0.005078691,0.44709983,189
128,128,0.11266966,0.05255435,0.12595883,0.015865626,0.005024133,0.6055918,185
129,129,0.10446358,0.055781722,0.115400404,0.013317253,0.005012755,0.4834718,194
130,130,0.08556949,0.039851326,0.10150915,0.010304106,0.00517044,0.50447416,189
131,131,0.09607722,0.042519595,0.11853455,0.014050439,0.005046185,0.5764084,196
132,132,0.107076794,0.06187532,0.11708424,0.013708719,0.005038672,0.4987461,206
133,133,0.093244776,0.046585113,0.108194195,0.011705983,0.0050222822,0.48147362,233
134,134,0.09264432,0.03362751,0.11484721,0.013189882,0.0050277715,0.52266186,208
135,135,0.08684856,0.03984606,0.10100293,0.010201593,0.0050304425,0.46114746,203
136,136,0.098176755,0.043722693,0.111741364,0.012486132,0.005051022,0.44345587,196
137,137,0.09965439,0.043046102,0.11696698,0.013681274,0.0051703067,0.61244535,200
138,138,0.09983213,0.04820496,0.112819366,0.01272821,0.005224907,0.47846478,200
139,139,0.10219683,0.050905094,0.11450168,0.013110634,0.005355312,0.50217116,203
140,140,0.10268438,0.052840725,0.11830346,0.013995709,0.0050258776,0.5538105,207
141,141,0.119112015,0.062197838,0.12822747,0.016442286,0.0050805784,0.54469866,213
142,142,0.10400052,0.0484304,0.12379723,0.015325755,0.0050719734,0.53883237,203
143,143,0.106864154,0.052400537,0.12069069,0.014566243,0.0050396915,0.4831373,196
144,144,0.086094774,0.038503367,0.100750595,0.010150683,0.005021622,0.5779982,201
145,145,0.10816488,0.04849548,0.119381346,0.0142519055,0.005040943,0.5567038,176
146,146,0.088812,0.031996984,0.10704673,0.011459002,0.0052086865,0.43056896,225
147,147,0.093436025,0.044298455,0.104137614,0.010844642,0.005178653,0.51766527,212
148,148,0.0871187,0.034979388,0.104214534,0.010860669,0.0052172816,0.50686705,222
149,149,0.094920486,0.042744268,0.11529309,0.013292497,0.005109808,0.5008222,203
150,150,0.10433238,0.042969257,0.117369704,0.013775648,0.00512154,0.49601343,227
151,151,0.10845608,0.047276318,0.12429583,0.015449454,0.005011947,0.5168476,247
152,152,0.096667424,0.039529596,0.11638726,0.013545996,0.0050313896,0.50767386,274
153,153,0.09157405,0.039225753,0.11461445,0.013136472,0.0050180447,0.565695,224
154,154,0.078988366,0.034772247,0.0904184,0.008175487,0.0050629955,0.4267401,176
155,155,0.063302256,0.0291005,0.07909496,0.0062560127,0.005072075,0.359968,159
156,156,0.067475766,0.028427823,0.07805353,0.006092353,0.005133674,0.38542348,139
157,157,0.07932388,0.039197896,0.09852395,0.009706968,0.0050158952,0.43448284,121
158,158,0.07472609,0.04241141,0.08448893,0.007138379,0.005852984,0.34114456,105
159,159,0.07750088,0.03241128,0.09625297,0.009264634,0.005005565,0.37015632,117
160,160,0.06822883,0.02746445,0.08724555,0.007611785,0.005097035,0.44823065,108
161,161,0.07595342,0.029251885,0.094477065,0.008925916,0.005139589,0.41736126,114
162,162,0.07828123,0.0253465,0.10650759,0.011343867,0.0050777653,0.50267166,79
163,163,0.07866935,0.034375053,0.09294983,0.008639671,0.0050575337,0.4340663,83
164,164,0.07828647,0.029955478,0.09789026,0.009582503,0.0050104414,0.4341765,123
165,165,0.08038987,0.036720328,0.1001376,0.010027538,0.005047569,0.48161206,128
166,166,0.09625882,0.046686165,0.10913261,0.011909926,0.005151871,0.4981503,143
167,167,0.108895324,0.0555544,0.11473904,0.013165047,0.0050450214,0.4400253,172
168,168,0.09783404,0.037066802,0.12006516,0.014415642,0.0050188857,0.52398664,172
169,169,0.09998313,0.047763545,0.12111177,0.014668062,0.0052891504,0.63060987,217
170,170,0.11183955,0.05243581,0.12225297,0.014945789,0.00502959,0.5622724,211
171,171,0.11809599,0.0659983,0.12835918,0.01647608,0.0050730887,0.6095305,228
172,172,0.09331549,0.04327448,0.11521216,0.013273841,0.0050100167,0.56974995,218
173,173,0.09836758,0.047118887,0.11506449,0.013239836,0.005035472,0.50516605,208
174,174,0.10094491,0.04695542,0.122365996,0.014973437,0.0050794105,0.60589975,187
175,175,0.088027775,0.032726407,0.1052786,0.011083583,0.0050338316,0.6117575,192
176,176,0.092237696,0.036900006,0.12024772,0.014459515,0.0050720978,0.59876627,181
177,177,0.11201224,0.049533546,0.12396992,0.015368542,0.0050090514,0.5318224,208
178,178,0.10904077,0.050640486,0.12591149,0.015853705,0.005061132,0.5547759,178
179,179,0.1128306,0.04146359,0.1385811,0.01920472,0.0054031485,0.60513145,192
180,180,0.10250248,0.042921033,0.11607908,0.013474353,0.0052566673,0.5192901,185
181,181,0.0982768,0.03399094,0.11733259,0.013766938,0.005000723,0.48585582,205
182,182,0.101358704,0.050970394,0.1123079,0.012613064,0.005131864,0.4728988,222
183,183,0.10104058,0.05185946,0.11385977,0.012964048,0.0050481153,0.51327807,258
184,184,0.09242366,0.03952895,0.11012308,0.012127094,0.005023598,0.5492255,247
185,185,0.1077889,0.054786168,0.118940994,0.01414696,0.005142971,0.5335599,213
186,186,0.10551436,0.05301412,0.12473655,0.015559207,0.0050240275,0.5785113,188
187,187,0.10581094,0.04582905,0.12651825,0.016006868,0.0050229863,0.51867735,172
188,188,0.08300016,0.039050557,0.1030096,0.010610976,0.0050225775,0.5232279,192
189,189,0.0824061,0.030698594,0.105596736,0.01115067,0.0050637,0.5901351,230
190,190,0.1041294,0.043042127,0.11921405,0.01421199,0.0050774654,0.47309643,195
191,191,0.1014451,0.045910314,0.122328125,0.014964171,0.005032857,0.57920974,196
192,192,0.09214399,0.048966646,0.100276425,0.010055361,0.0050352523,0.5160735,194
193,193,0.08822437,0.043933466,0.10022714,0.01004548,0.0050159968,0.4471505,221
194,194,0.0971961,0.053757027,0.10042381,0.010084943,0.0050053312,0.42483172,228
195,195,0.10382182,0.041570146,0.12601915,0.015880825,0.0050161877,0.5700562,183
196,196,0.09626129,0.04576461,0.11418509,0.013038235,0.005146348,0.45094916,157
197,197,0.08773405,0.0300692,0.109898634,0.01207771,0.005104628,0.49403107,169
198,198,0.0741072,0.032526724,0.090524584,0.0081947,0.0050306204,0.4913783,153
199,199,0.0685705,0.027468007,0.09842763,0.009687998,0.005030807,0.6048833,130
200,200,0.07003732,0.027562123,0.082306504,0.0067743612,0.0051621767,0.35637844,128
201,201,0.06411929,0.024579164,0.08662913,0.007504606,0.0052282526,0.39379215,121
202,202,0.058562398,0.021479242,0.0822512,0.0067652594,0.0050423015,0.47013518,129
203,203,0.06599256,0.030367646,0.08783628,0.007715212,0.0050311023,0.48943076,90
204,204,0.060885016,0.027623132,0.073171854,0.00535412,0.0050588804,0.3135928,100
205,205,0.06660452,0.027875254,0.084757105,0.007183767,0.0050111553,0.4109426,105
206,206,0.06483803,0.027626872,0.082180485,0.006753632,0.0053581167,0.34378508,97
207,207,0.080188505,0.034456972,0.10462031,0.010945409,0.0050131273,0.49091423,104
208,208,0.08016884,0.036231395,0.10123156,0.010247829,0.0050252904,0.48032472,113
209,209,0.06174964,0.0316561,0.07637934,0.0058338027,0.0050659333,0.402201,114
210,210,0.08061588,0.04433851,0.09670479,0.009351816,0.00511808,0.54968286,133
211,211,0.085430324,0.029047115,0.107538976,0.011564631,0.005080508,0.43191823,118
212,212,0.07923827,0.037965856,0.093929775,0.008822802,0.0052906247,0.40335914,98
213,213,0.08009338,0.041173045,0.08690788,0.0075529795,0.0050929165,0.37102643,121
214,214,0.10323992,0.047566667,0.12755144,0.016269367,0.005068777,0.62847465,146
215,215,0.112688385,0.051530205,0.13030332,0.016978957,0.005276188,0.62923175,186
216,216,0.11928543,0.06823597,0.12471336,0.015553422,0.005122066,0.5299054,173
217,217,0.09140357,0.041861385,0.11088031,0.012294442,0.005137,0.5605823,192
218,218,0.09656508,0.04425349,0.11106451,0.012335325,0.0051202495,0.4865616,208
219,219,0.11572043,0.05169777,0.1273984,0.016230354,0.005025095,0.53627473,234
220,220,0.10095105,0.05415714,0.113480575,0.012877841,0.00501609,0.52490675,233
221,221,0.09855117,0.04355538,0.11952758,0.014286842,0.0050337645,0.589543,225
222,222,0.1016415,0.04414081,0.11688105,0.013661181,0.0050302725,0.5629143,206
223,223,0.09673062,0.049826413,0.107373446,0.011529057,0.0053550815,0.45399076,178
224,224,0.08771964,0.03155005,0.11026552,0.012158486,0.0050490806,0.46237588,196
225,225,0.089551024,0.036046486,0.11029535,0.012165064,0.005162426,0.50475436,177
226,226,0.08280921,0.032928437,0.10772534,0.011604748,0.005215924,0.59629315,168
227,227,0.09565742,0.02831202,0.124814756,0.015578723,0.0051546968,0.5534536,176
228,228,0.10049386,0.06279494,0.10666058,0.01137648,0.0051700706,0.47916847,158
229,229,0.097557604,0.050931737,0.1104673,0.012203024,0.00501725,0.54453295,150
230,230,0.098432094,0.04524456,0.1147222,0.013161182,0.0050967424,0.53405243,183
231,231,0.10559409,0.058224205,0.11032611,0.0121718515,0.005360217,0.47676408,164
232,232,0.10647591,0.04272318,0.12747611,0.016250158,0.005018079,0.6102702,204
233,233,0.10218521,0.05567647,0.11566361,0.013378071,0.0051509156,0.50404936,191
234,234,0.09750357,0.032958966,0.11655193,0.013584352,0.0050573344,0.5215686,205
235,235,0.097799785,0.046172954,0.11343121,0.012866639,0.0050761634,0.49142167,174
236,236,0.09603252,0.04150026,0.11631709,0.013529666,0.005112867,0.57676136,212
237,237,0.10630911,0.049198776,0.12184602,0.014846453,0.005051387,0.5274051,226
238,238,0.09680436,0.049564097,0.10628159,0.011295778,0.005008873,0.44510767,220
239,239,0.09351552,0.03650694,0.11456275,0.013124624,0.0051385877,0.49949995,229
240,240,0.09128942,0.040721882,0.10669546,0.011383921,0.005085529,0.5104544,197
241,241,0.08758471,0.03423075,0.115179,0.013266202,0.005193398,0.53285366,173
242,242,0.08776566,0.0490079,0.10040106,0.010080373,0.0051332074,0.4480316,179
243,243,0.07865398,0.02854172,0.10102403,0.010205856,0.00519136,0.421193,171
244,244,0.06656856,0.029068664,0.07807686,0.006095996,0.0050374153,0.34192613,182
245,245,0.09546453,0.03984135,0.10909155,0.011900966,0.0051045706,0.4623123,179
246,246,0.093338065,0.044869307,0.11032101,0.0121707255,0.005036986,0.45230886,172
247,247,0.09768662,0.04487262,0.10670216,0.0113853505,0.0050841267,0.44871184,205
248,248,0.09265026,0.040256873,0.10942389,0.011973588,0.0050053345,0.51603395,228
249,249,0.095855325,0.04997426,0.109774016,0.012050335,0.0050417446,0.48159155,246
250,250,0.097034395,0.04959665,0.11051466,0.012213491,0.0050682304,0.52268183,222
251,251,0.10067291,0.043269392,0.11549376,0.013338808,0.005041194,0.5123492,217
252,252,0.09032745,0.038899552,0.11017269,0.012138022,0.0050063157,0.5429049,204
253,253,0.09748511,0.038898382,0.11830185,0.013995329,0.0050727045,0.50288236,243
254,254,0.10291128,0.05062582,0.12187798,0.014854242,0.0050011813,0.5650647,209
255,255,0.101687595,0.05103215,0.114636116,0.013141439,0.005107983,0.47687852,223
256,256,0.088049695,0.036731258,0.11267668,0.012696034,0.005026637,0.57685786,186
257,257,0.088714026,0.03629542,0.104642205,0.010949991,0.0050037047,0.45851466,149
258,258,0.08445392,0.03203391,0.09999075,0.00999815,0.005142648,0.38463607,160
259,259,0.08969399,0.039253548,0.098091416,0.009621926,0.0051632244,0.3852503,177
260,260,0.085967824,0.040914714,0.09589392,0.0091956435,0.005269091,0.40142673,148
261,261,0.08807195,0.04786854,0.09992894,0.009985792,0.0051741484,0.5822527,135
262,262,0.10143239,0.04748575,0.11090942,0.012300898,0.005007349,0.43414676,150
263,263,0.10016726,0.05375856,0.10620072,0.011278593,0.005219228,0.45447123,146
264,264,0.08813711,0.030514518,0.110791795,0.012274821,0.0051536583,0.537036,145
265,265,0.0787223,0.0331931,0.09604188,0.009224043,0.0050158934,0.43244416,149
266,266,0.08139736,0.035267603,0.09678167,0.009366692,0.0051358356,0.42017874,120
267,267,0.07725286,0.028966745,0.09759716,0.009525205,0.0052970406,0.45807382,123
268,268,0.08294718,0.045929424,0.09721456,0.00945067,0.0050194846,0.4885128,132
269,269,0.1033975,0.049372893,0.11822378,0.013976863,0.0053167962,0.44119945,117
270,270,0.074609675,0.035693146,0.09876036,0.009753609,0.005135144,0.60057056,120
271,271,0.08921161,0.030885499,0.11504724,0.013235867,0.0052693794,0.6395222,164
272,272,0.11149946,0.055508878,0.12190133,0.014859934,0.00519176,0.51767653,185
273,273,0.12019027,0.063385025,0.1365006,0.018632412,0.005220069,0.57648915,195
274,274,0.11214452,0.054481905,0.1311262,0.01719408,0.005015107,0.5212064,183
275,275,0.10206669,0.051867872,0.11244697,0.012644322,0.0051688235,0.52098024,192
276,276,0.0987403,0.052344013,0.11072103,0.012259146,0.0050307224,0.47069502,219
277,277,0.100424364,0.050332762,0.115611404,0.013365996,0.005034117,0.5948304,219
278,278,0.10475207,0.041468576,0.1255888,0.015772548,0.00550427,0.49377477,237
279,279,0.09605267,0.041419223,0.11571663,0.013390339,0.0050110333,0.58231616,234
280,280,0.09422786,0.040963285,0.106327616,0.011305561,0.005088419,0.50677997,209
281,281,0.103577636,0.050338935,0.1153104,0.013296489,0.0053009074,0.61318564,176
282,282,0.121829286,0.07256868,0.12677579,0.016072098,0.005118974,0.65432626,183
283,283,0.089491956,0.04506424,0.102333724,0.010472191,0.0052940217,0.49231115,178
284,284,0.09784752,0.04107548,0.119470626,0.01427323,0.0050155343,0.60602504,181
285,285,0.09568737,0.04190797,0.11659852,0.013595214,0.005163599,0.55221456,191
286,286,0.09614076,0.038878463,0.12220332,0.014933652,0.005022349,0.6005775,184
287,287,0.08709716,0.048182584,0.09532969,0.009087749,0.005312342,0.45671222,174
288,288,0.08082895,0.039271004,0.09355653,0.008752825,0.0050299447,0.40567854,174
289,289,0.081860766,0.03384928,0.102168396,0.010438381,0.00505941,0.54345936,194
290,290,0.10651767,0.06051038,0.112001754,0.012544393,0.005497612,0.5450404,187
291,291,0.10960813,0.053457137,0.12829529,0.016459681,0.0050076745,0.624178,211
292,292,0.098173924,0.042268455,0.11567997,0.0133818565,0.005042349,0.5050413,192
293,293,0.09464791,0.0476674,0.107313916,0.011516276,0.0051126126,0.52301073,226
294,294,0.104901396,0.049334113,0.12594631,0.015862474,0.005031291,0.70720047,193
295,295,0.11137988,0.05303978,0.12917452,0.016686054,0.0050239027,0.6460793,203
296,296,0.11125966,0.0560606,0.11882661,0.014119765,0.005069522,0.51747566,219
297,297,0.103430405,0.053831033,0.10776145,0.01161253,0.0050609875,0.41878748,196
298,298,0.10115409,0.055869594,0.11466358,0.013147737,0.0051301876,0.5653713,206
299,299,0.09674133,0.048293427,0.11206573,0.012558728,0.0051008947,0.6153498,218
300,300,0.09933289,0.04907875,0.11615779,0.013492634,0.0050074444,0.50616604,249
301,301,0.10571692,0.045365624,0.118012995,0.013927068,0.005031378,0.47832564,231
302,302,0.10870577,0.06272929,0.115990564,0.013453811,0.0050696703,0.53753877,214
303,303,0.08916291,0.04236916,0.10460365,0.010941924,0.0050449455,0.57304156,237
304,304,0.094656356,0.057233796,0.104002096,0.010816435,0.005000776,0.5311786,192
305,305,0.09027677,0.037791736,0.109449916,0.011979284,0.0051394734,0.5410631,219
306,306,0.09625427,0.058207426,0.10738593,0.011531739,0.005018578,0.47362044,203
307,307,0.08827859,0.030495726,0.107723445,0.011604341,0.0051930537,0.53804797,190
308,308,0.09375181,0.044907313,0.1116921,0.012475125,0.0050450144,0.568798,168
309,309,0.10554242,0.0539447,0.11659172,0.013593629,0.0051643006,0.55356914,160
310,310,0.09352559,0.045947824,0.11044675,0.012198485,0.005308281,0.70155317,192
311,311,0.09835075,0.03834867,0.117332235,0.013766854,0.0051465575,0.58913296,202
