mean_score,median_score,std_score,var_score,min_score,max_score,ip_count,is_non_csnp,is_artefact
0.11644042,0.06070062,0.13043869,0.017014252,0.005021844,0.57989943,240,False,False
0.12991636,0.08843932,0.13000312,0.016900813,0.005038194,0.5413506,227,False,False
0.1214142,0.06677428,0.12697493,0.016122632,0.0050449125,0.53419286,238,False,False
0.13289152,0.06752747,0.1432764,0.020528123,0.005094995,0.5488805,226,False,False
0.11284713,0.050869286,0.12210927,0.014910674,0.005130607,0.5101786,235,False,False
0.12902193,0.0878776,0.13107266,0.01718004,0.005014338,0.5950403,217,False,False
0.11832547,0.05406833,0.1331216,0.01772136,0.0050424817,0.49837273,231,False,False
0.12196195,0.062014446,0.13137017,0.017258123,0.0050235703,0.5747074,215,False,False
0.11398075,0.060197495,0.1213368,0.01472262,0.0050350768,0.53006935,227,False,False
0.11743831,0.058948237,0.12574711,0.015812337,0.005031185,0.60620546,239,False,False
0.12424311,0.065793306,0.13054565,0.017042166,0.0053302567,0.57113075,228,False,False
0.121543966,0.058404624,0.13049424,0.017028747,0.005050476,0.51717263,231,False,False
0.11552685,0.05837352,0.12669681,0.01605208,0.005031926,0.51938933,245,False,False
0.12608379,0.075326435,0.13233921,0.017513668,0.005095207,0.56639105,238,False,False
0.11936054,0.06995716,0.12212551,0.014914639,0.0051278532,0.625607,233,False,False
0.12763461,0.077540785,0.13275209,0.017623119,0.005071675,0.556412,227,False,False
0.11694193,0.07849741,0.12261081,0.01503341,0.00513661,0.5557712,237,False,False
0.118834905,0.058540165,0.1298812,0.016869128,0.0050044386,0.58017874,254,False,False
0.119128644,0.06727651,0.1256113,0.015778199,0.0050402894,0.55045825,237,False,False
0.1224656,0.0702471,0.1273242,0.01621145,0.005051005,0.49632657,241,False,False
0.11459836,0.057067126,0.119171605,0.014201872,0.0051706866,0.49014556,278,False,False
0.12144573,0.054050043,0.13356197,0.0178388,0.005008581,0.5147015,234,False,False
0.11278995,0.055489067,0.122353315,0.014970334,0.0050021317,0.5249448,239,False,False
0.12119974,0.0559171,0.1286265,0.016544774,0.005028121,0.6022887,236,False,False
0.11893385,0.069007695,0.12990229,0.016874606,0.0050075403,0.5695016,235,False,False
0.111653976,0.068102024,0.1208988,0.01461652,0.0050214296,0.6043071,233,False,False
0.12743115,0.073869504,0.12938586,0.016740702,0.005114339,0.5169591,244,False,False
0.11511238,0.052115284,0.12902851,0.016648356,0.005017,0.5633196,256,False,False
0.13537753,0.06868018,0.14403813,0.020746984,0.00516561,0.60513264,227,False,False
0.12962772,0.06759161,0.1363745,0.018598007,0.005069012,0.5496622,222,False,False
0.118914366,0.06636961,0.12798163,0.016379299,0.0050844136,0.6046213,230,False,False
0.10910218,0.05650887,0.119785,0.014348446,0.00500608,0.49750224,237,False,False
0.11695428,0.05445961,0.13327451,0.017762095,0.005002307,0.5469058,226,False,False
0.12048587,0.07854543,0.12516119,0.015665323,0.0050294492,0.61370134,219,False,False
0.13294499,0.08530105,0.13582395,0.018448144,0.005018893,0.6314564,216,False,False
0.10671469,0.049402617,0.11617426,0.0134964585,0.0050431844,0.5404713,239,False,False
0.11895092,0.07627318,0.11878269,0.014109328,0.0051456294,0.4800482,243,False,False
0.11853955,0.06621055,0.12555876,0.015765002,0.00508818,0.61312926,244,False,False
0.118400104,0.07068013,0.12491541,0.01560386,0.005013043,0.6083388,219,False,False
0.11658815,0.06325256,0.1170079,0.013690847,0.005220694,0.46401438,217,False,False
0.11209264,0.059482057,0.121243455,0.014699975,0.0050867065,0.5477396,235,False,False
0.118704975,0.0725359,0.12211042,0.014910954,0.005019725,0.5086915,214,False,False
0.11261879,0.062975205,0.12243797,0.014991057,0.0050129173,0.5555998,223,False,False
0.10924106,0.054497823,0.1240738,0.01539431,0.0050053857,0.5506493,252,False,True
0.1244272,0.061654422,0.1318547,0.01738566,0.0051655397,0.64015514,253,False,False
0.116060324,0.061771475,0.130581,0.017051399,0.005030222,0.59602356,282,False,False
0.12682068,0.07482098,0.12658007,0.016022515,0.005049975,0.5037156,254,False,False
0.12148921,0.0766903,0.12792829,0.016365645,0.005053299,0.6025093,271,False,False
0.12032923,0.074489325,0.123886675,0.015347907,0.0050212643,0.54982585,266,False,False
0.12474588,0.07044672,0.13491903,0.018203147,0.0050643785,0.7424424,273,False,False
0.1214433,0.07284728,0.12689942,0.016103463,0.0052731885,0.60765207,267,False,False
0.13307358,0.090961166,0.1387245,0.01924449,0.0051435623,0.6773196,243,False,False
0.1374407,0.088781685,0.13743696,0.018888915,0.0051018107,0.52181923,252,False,False
0.12933856,0.088142954,0.1294028,0.016745085,0.00511515,0.73076105,249,False,False
0.11803052,0.07059457,0.11906063,0.014175433,0.0051439614,0.54752874,260,False,False
0.11828,0.07100623,0.121575005,0.014780481,0.0050314767,0.5211247,252,False,False
0.12295124,0.0667266,0.12940921,0.016746745,0.0050511225,0.5723903,256,False,False
0.13207735,0.08485608,0.13205962,0.017439744,0.0050248625,0.6110748,248,False,False
0.13037299,0.06256625,0.1424928,0.020304197,0.0050434694,0.54423815,263,False,False
0.13398914,0.08581,0.13905032,0.019334992,0.0051879706,0.6024728,267,False,False
0.1308214,0.09234141,0.13079403,0.017107079,0.0050512953,0.4810294,251,False,False
0.12926616,0.07524356,0.13618667,0.018546809,0.005053113,0.587163,256,False,False
0.11104731,0.051571812,0.11806215,0.013938673,0.005094907,0.46046674,262,False,False
0.10924289,0.06445733,0.117154695,0.013725222,0.0051730494,0.6021066,242,False,True
0.10655199,0.055659883,0.11954027,0.014289875,0.0050080516,0.596491,215,False,False
0.12259312,0.07567456,0.12808809,0.016406557,0.0050749667,0.5239628,207,False,False
0.11559471,0.053494096,0.12246732,0.014998244,0.0050274236,0.51249945,191,False,False
0.10833093,0.049439542,0.12104884,0.014652821,0.0053301468,0.62796956,201,False,False
0.10154926,0.05410312,0.11141597,0.012413518,0.00514376,0.50695246,210,False,False
0.10662037,0.06196428,0.12124953,0.014701447,0.0051128636,0.5456295,219,False,False
0.11767087,0.0582655,0.12295492,0.015117913,0.0050686896,0.5385955,216,False,False
0.12185657,0.07091662,0.12423362,0.015433992,0.005024688,0.5914991,222,False,False
0.10031102,0.04457687,0.11946936,0.014272927,0.005071716,0.57768685,248,False,False
0.11971743,0.072645,0.1241893,0.015422983,0.005021196,0.5766225,225,False,False
0.103197716,0.052650563,0.11041487,0.012191444,0.005058917,0.51304317,235,False,True
0.11315434,0.0660191,0.123172946,0.015171574,0.005120679,0.6961102,240,False,False
0.12642294,0.068502165,0.13065508,0.01707075,0.0051663336,0.5510098,211,False,False
0.1192323,0.07729531,0.121327914,0.014720463,0.0051492504,0.53824204,250,False,False
0.12768312,0.071932584,0.13045046,0.017017322,0.005003872,0.6248001,242,False,False
0.13201837,0.074639976,0.1391119,0.019352121,0.005190918,0.7339673,252,False,False
0.12829715,0.08297757,0.12898727,0.016637715,0.005093781,0.5756431,263,False,False
0.13256562,0.06804089,0.1427098,0.02036609,0.0050326795,0.5957158,265,False,False
0.12372572,0.07248558,0.12777123,0.016325485,0.005009897,0.5402649,262,False,False
0.12927425,0.07559156,0.1315661,0.01730964,0.0050097075,0.6045845,255,False,False
0.14088915,0.08495136,0.1464317,0.021442244,0.0050739003,0.6286187,255,False,False
0.12819247,0.072662,0.13575532,0.018429505,0.0051245634,0.63287306,255,False,False
0.12417303,0.06109818,0.13559057,0.018384801,0.0051757693,0.5974851,261,False,False
0.116641365,0.06186692,0.12120715,0.014691172,0.005097302,0.5510733,265,False,False
0.12674534,0.07259937,0.1318937,0.017395947,0.0051238053,0.5926761,264,False,False
0.12895834,0.082022026,0.13303657,0.017698728,0.0050493265,0.55486757,249,False,False
0.11111696,0.048207425,0.1282856,0.016457196,0.0050042677,0.6209407,240,False,False
0.12447188,0.07107912,0.12844193,0.01649733,0.0051094475,0.5470527,268,False,True
0.13306811,0.07297171,0.13513233,0.018260745,0.005001177,0.5959425,235,False,False
0.124482505,0.07237818,0.13120556,0.017214898,0.0050111567,0.58188105,243,False,False
0.12368358,0.06412389,0.12738831,0.016227784,0.0050735073,0.56649834,241,False,False
0.13464415,0.07836603,0.13947614,0.019453593,0.0051261852,0.6026764,254,False,False
0.12123973,0.057059295,0.13913369,0.019358182,0.00514916,0.6105413,266,False,False
0.12823395,0.07640231,0.13447341,0.018083097,0.0050064516,0.6026043,268,False,False
0.13809098,0.08477159,0.14268358,0.020358605,0.0050126524,0.68181396,266,False,False
0.1270884,0.089089416,0.12507944,0.015644865,0.005166415,0.5191588,281,False,False
