mean_score,median_score,std_score,var_score,min_score,max_score,skew_score,kurtosis_score,ip_count
0.09705305,0.04641954,0.109491676,0.011988427,0.0051917047,0.45153275,1.278774573347248,0.6446498937462941,227
0.08453844,0.041907117,0.09861185,0.009724296,0.0050948546,0.48854926,1.5787054378094258,1.8152168095172074,233
0.08917417,0.038595922,0.10878934,0.01183512,0.005084443,0.512739,1.717529933328579,2.6015057731840727,242
0.09501659,0.04265939,0.11390579,0.012974528,0.0050209602,0.52839756,1.6779723073880397,2.324608982122318,247
0.08821857,0.036533162,0.10749058,0.0115542235,0.0050121085,0.5088044,1.684902249787287,2.3557638835277066,238
0.09790181,0.052701082,0.11102254,0.012326005,0.0050424347,0.5628501,1.5476574641607033,2.019913940145168,228
0.10670635,0.046077643,0.122913435,0.015107713,0.00509878,0.6009783,1.5113226121172871,1.9013214080561438,237
0.09382245,0.04173579,0.11201732,0.0125478795,0.0050238003,0.5164817,1.6020113144040282,1.916160577174547,248
0.091771275,0.036425903,0.10993663,0.012086064,0.0050443863,0.46155322,1.4832914688072278,1.2995119563490283,242
0.09296022,0.04222211,0.11353496,0.012890186,0.005002611,0.5040105,1.8040690228075649,3.0105267731228125,226
0.09204259,0.039785497,0.10936006,0.011959624,0.0050011845,0.526149,1.6041638314399898,2.100663532774818,216
0.083673716,0.03199148,0.10125751,0.010253084,0.0050374167,0.4343072,1.5070851545973032,1.3244550809192708,218
0.09257263,0.041040964,0.11115584,0.01235562,0.0050177416,0.51183337,1.5881916428112537,1.8983804394577026,212
0.09598784,0.044575185,0.11753461,0.013814383,0.0050819097,0.65264904,1.7200944855965445,2.908722361246279,230
0.09048817,0.037192143,0.10794113,0.011651288,0.005026595,0.5072468,1.610569156576373,2.1050803320732943,213
0.09165681,0.04317661,0.10454857,0.010930404,0.005015574,0.4735171,1.3159807951553641,0.7657852256551463,215
0.09222407,0.04146525,0.11131451,0.012390921,0.0050726878,0.5266148,1.6784955602215172,2.4589453793683953,233
0.10451363,0.053256705,0.11956665,0.014296183,0.0050152177,0.56782854,1.4984200375948586,1.8301407215890446,245
0.10270938,0.05751305,0.115774035,0.013403628,0.00501647,0.5577584,1.5011682415034724,1.9572135827836226,254
0.101796694,0.053852323,0.11651957,0.01357681,0.005113973,0.57092845,1.5955236506209722,2.167426177363865,247
0.095826246,0.048872635,0.110569194,0.012225547,0.005077893,0.5214351,1.5794888012766004,1.9383732151115787,251
0.09139104,0.05605405,0.0999324,0.009986484,0.005024736,0.48383772,1.484118486466014,1.7147735136910613,232
0.104272254,0.06206436,0.11866393,0.014081129,0.0050015324,0.5810406,1.4851984950660146,1.8757425188914096,225
0.10813329,0.048728872,0.12525107,0.01568783,0.0050445823,0.56039256,1.5001779484195887,1.5768975453759815,245
0.09345247,0.05273471,0.10203954,0.010412068,0.005259654,0.48345342,1.469899955084674,1.7028719344763132,233
0.098075375,0.046510816,0.11428004,0.013059927,0.0050010914,0.5471803,1.4331512926827705,1.3194531387800748,255
0.09912861,0.045355782,0.113027774,0.012775278,0.0050243833,0.6988155,1.6116892770206237,3.1642870035001627,238
0.09099469,0.042895943,0.11007955,0.012117507,0.0050979084,0.5439555,1.6248438717863685,2.0750350866917504,240
0.096687205,0.04593904,0.11692578,0.013671638,0.005043552,0.52449423,1.6908118156828995,2.3130874358923794,234
0.09322347,0.040686645,0.112276666,0.012606049,0.005086933,0.5484409,1.5797047180061785,1.8059997292315257,248
0.09506708,0.047721613,0.11767496,0.013847396,0.005008228,0.59147096,1.899455903932034,3.54842055959731,247
0.09109138,0.031426437,0.11107292,0.012337193,0.005045691,0.51236826,1.6108922810732547,1.9520242495156177,241
0.085412644,0.03357991,0.103471056,0.010706259,0.0050423117,0.4487553,1.628169614455232,2.0536856143440145,250
0.10331136,0.051981386,0.11701611,0.013692769,0.005202694,0.58932483,1.6312310404940773,2.5165759364184535,247
0.10858563,0.060378723,0.11630656,0.013527215,0.0050029205,0.45690045,1.2294020433212156,0.5077744136188671,244
0.098178685,0.04146809,0.1171048,0.013713533,0.005117177,0.59232616,1.6913535084295848,2.545041975743655,237
0.10776211,0.046959292,0.12219586,0.014931829,0.005182447,0.5162869,1.255565414253144,0.6827592533628852,229
0.09645088,0.04260312,0.11406197,0.013010132,0.0051738094,0.64750874,1.6879131119878643,3.0058692572487224,252
0.08734129,0.03741598,0.1047499,0.010972542,0.0050238348,0.5769919,1.7289401163740752,3.0326564089848382,256
0.09493616,0.04918887,0.10990912,0.012080014,0.005066348,0.59690934,1.7206612742678769,3.0263809014415095,239
0.10816738,0.055367213,0.119208485,0.014210663,0.0052815545,0.6414462,1.6069806158682378,2.7855740178447643,223
0.09384614,0.04063027,0.11270228,0.012701804,0.0050535877,0.6698657,1.7039682113022292,3.1273502468692644,227
0.11252275,0.054059725,0.12561026,0.015777936,0.0050238883,0.61872864,1.3434274895653426,1.2862427550925561,196
0.10312196,0.057623804,0.11634928,0.0135371545,0.0051517724,0.5662943,1.4757888500361918,1.7004334249044355,208
0.10094407,0.049796853,0.11712797,0.013718962,0.005003379,0.7316709,1.6564463418109459,3.492388637374477,223
0.088488184,0.037956692,0.10548008,0.011126047,0.0050085015,0.4834549,1.555950649137286,1.8965896705292327,238
0.09997491,0.046536583,0.11178375,0.012495606,0.0051711253,0.61508566,1.6121496152961219,2.6935304726969207,229
