mean_score,median_score,std_score,var_score,min_score,max_score,skew_score,kurtosis_score,ip_count,is_non_csnp,is_artefact,dataset
0.10010074,0.044716872,0.11644258,0.013558875,0.005000764,0.5214177,1.477605989107361,1.6719434351578348,230,False,False,EGT6_001_A_2
0.09409475,0.040160157,0.11089119,0.012296856,0.0050157765,0.5871237,1.6260587213850335,2.2487075523987503,251,False,False,EGT6_001_A_2
0.120371945,0.0645331,0.1300366,0.016909517,0.00510606,0.532276,1.1679479262088317,0.4836004895906307,216,False,False,EGT6_001_A_2
0.103372216,0.04094506,0.11967387,0.014321835,0.005007575,0.5603439,1.3422690514661164,1.0862085598127154,218,False,False,EGT6_001_A_2
0.09992439,0.042987555,0.116932444,0.013673197,0.005163673,0.55508643,1.5211047817129086,1.8392519539650087,225,False,False,EGT6_001_A_2
0.11836662,0.062605284,0.13186166,0.017387496,0.0051452415,0.64849687,1.468566882231159,1.850748091825212,220,False,False,EGT6_001_A_2
0.110245995,0.054421045,0.12606868,0.015893312,0.005143551,0.5662758,1.3541638288945606,0.983900963925162,226,False,False,EGT6_001_A_2
0.10553185,0.04454838,0.123452395,0.015240494,0.005102914,0.54485977,1.375945281804246,1.008810661567888,216,False,False,EGT6_001_A_2
0.114194445,0.0526281,0.12627523,0.015945435,0.00524531,0.50665766,1.268191411088215,0.6381621299878666,237,False,False,EGT6_001_A_2
0.10021671,0.04381727,0.110971496,0.0123146735,0.005019688,0.48478672,1.095292192603824,0.0174855774434767,221,False,False,EGT6_001_A_2
0.11253027,0.048068527,0.12917796,0.016686944,0.005020603,0.63353807,1.3911795689910396,1.31858389385477,239,False,False,EGT6_001_A_2
0.1044666,0.054067735,0.115775295,0.0134039195,0.005066204,0.4564098,1.2894769784079994,0.6714256716169977,223,False,False,EGT6_001_A_2
0.12668043,0.07000223,0.13401754,0.017960701,0.005000166,0.51770115,1.1123385770370129,0.183051949775594,232,False,False,EGT6_001_A_2
0.12689187,0.06132894,0.13706706,0.018787382,0.005103253,0.5115845,1.062027672217322,-0.0183649219353099,234,False,False,EGT6_001_A_2
0.12007867,0.06909034,0.12826936,0.016453028,0.0050809095,0.51363367,1.0673674975094778,0.1469152220949432,227,False,False,EGT6_001_A_2
0.114870965,0.06354813,0.12325999,0.015193025,0.0050100544,0.53660804,1.308216883052552,1.04741804670243,229,False,False,EGT6_001_A_2
0.121714324,0.065096825,0.1264488,0.015989296,0.005087598,0.6077814,1.198225790775833,0.9743789444690444,228,False,False,EGT6_001_A_2
0.11489714,0.056311607,0.12671396,0.01605643,0.00509421,0.5382724,1.2746436245158916,0.8310056554831569,230,False,False,EGT6_001_A_2
0.10918037,0.06142496,0.11374003,0.012936794,0.005071103,0.48479217,1.1292037733762057,0.2837880633678007,231,False,False,EGT6_001_A_2
0.11805057,0.07559382,0.12450273,0.015500931,0.005072779,0.513213,1.1897175990610842,0.4723754360062817,224,False,False,EGT6_001_A_2
