mean_score,median_score,std_score,var_score,min_score,max_score,valid_count,transform_inlier_ratio,has_artefact,has_non_csnp
0.005149765,3.0106257e-08,0.045299187,0.0020520163,0.0,0.9932267,26,0.3076923076923077,False,True
0.0049443543,1.765816e-08,0.0455948,0.0020788857,0.0,0.994427,30,0.6,False,False
0.004655782,7.265557e-09,0.045749035,0.002092974,0.0,0.998672,40,0.55,False,False
0.0043071425,3.3077248e-09,0.040118385,0.0016094849,0.0,0.99817675,32,0.71875,False,False
0.004281504,3.141745e-09,0.04182027,0.001748935,0.0,0.99869,45,0.7555555555555555,False,False
0.004323902,3.6276218e-09,0.04475354,0.0020028795,0.0,0.9986382,51,0.803921568627451,False,False
0.0044293455,7.8081746e-09,0.047679313,0.002273317,2.9120034e-35,0.99860054,62,0.7419354838709677,False,False
0.00466581,4.6698965e-09,0.039201967,0.0015367944,5.499999e-34,0.9968645,16,0.6875,False,False
0.00494782,6.4348966e-09,0.049694765,0.0024695697,0.0,0.99714404,56,0.7321428571428571,False,False
0.0051543596,7.1561694e-09,0.04755368,0.0022613527,0.0,0.99876195,36,0.8055555555555556,False,False
0.0051654615,2.7068405e-09,0.056530464,0.0031956933,0.0,0.99935263,71,0.7605633802816901,False,False
0.0050365506,4.8538036e-09,0.051892262,0.002692807,0.0,0.99550164,53,0.6792452830188679,False,False
0.0053610145,7.026717e-09,0.05434202,0.002953055,0.0,0.99916875,56,0.6964285714285714,False,False
0.003119382,5.9124723e-06,0.029781627,0.0008869452,0.0,0.987863,10,0.2,True,False
0.004076621,6.6865596e-08,0.04353352,0.0018951672,0.0,0.99617493,52,0.2115384615384615,True,False
0.004353135,1.0541861e-09,0.04716547,0.0022245815,5.4425270000000003e-39,0.99663866,67,0.4776119402985074,False,False
0.0040799933,1.4895656e-09,0.04402386,0.0019381003,1.7610000000000002e-42,0.9976719,56,0.7678571428571429,False,False
0.0040240944,9.636252e-10,0.038530767,0.00148462,1.2661e-41,0.99783134,30,0.7666666666666667,False,False
0.004014357,1.8484345e-09,0.03997578,0.0015980632,2.8e-44,0.99905634,46,0.6739130434782609,False,False
0.0042546033,1.0801547e-08,0.047813937,0.0022861725,0.0,0.9987163,75,0.76,False,False
0.004749603,4.8680515e-10,0.049099024,0.002410714,0.0,0.999264,61,0.6721311475409836,False,False
0.005342616,7.2248527e-09,0.04738735,0.002245561,1.1656880000000002e-39,0.99762243,31,0.6451612903225806,False,False
0.005936118,3.238894e-08,0.050092854,0.0025092938,0.0,0.99899065,23,0.4347826086956521,False,False
0.005148209,1.0080429e-06,0.037517898,0.0014075928,0.0,0.9630834,7,0.2857142857142857,True,False
0.00504188,2.658884e-07,0.042312574,0.0017903538,0.0,0.98991466,18,0.2777777777777778,True,False
0.0057123853,3.1929814e-09,0.052397676,0.0027455164,0.0,0.9969515,47,0.4893617021276595,False,False
0.005542532,4.093609e-09,0.05794478,0.0033575972,0.0,0.99908817,71,0.6901408450704225,False,False
