mean_score,median_score,std_score,var_score,min_score,max_score,valid_count,transform_inlier_ratio,has_artefact,has_non_csnp
0.003276,6.77142e-10,0.039902393,0.0015922011,0.0,0.9989744,85,0.4823529411764706,False,False
0.0033163873,3.532103e-09,0.040351264,0.0016282245,0.0,0.9980131,87,0.735632183908046,False,False
0.0035033047,1.7994571e-10,0.040109944,0.0016088075,0.0,0.99944556,69,0.6376811594202898,False,False
0.003519965,3.1010455e-10,0.046089843,0.0021242735,0.0,0.9987624,119,0.7226890756302521,False,False
0.0034486577,1.2793552e-09,0.04051345,0.0016413394,0.0,0.9975777,74,0.8243243243243243,False,False
0.0034466216,1.1180998e-09,0.04566559,0.002085346,0.0,0.99847865,116,0.4051724137931034,False,False
0.0035466996,4.875095e-10,0.045371145,0.002058541,0.0,0.99945843,108,0.5277777777777778,False,False
0.0034956574,7.757727e-10,0.043814935,0.0019197486,0.0,0.9982468,100,0.76,False,False
0.0033298344,1.5206476e-09,0.03603092,0.001298227,0.0,0.99878967,45,0.3555555555555555,False,False
0.0036802462,2.023542e-09,0.0445553,0.0019851746,0.0,0.9997997,84,0.369047619047619,False,False
0.0037884484,5.0305164e-09,0.042427234,0.0018000703,0.0,0.99867666,67,0.5970149253731343,False,False
0.0040237145,1.1761248e-09,0.044881903,0.0020143853,1.0000000000000001e-45,0.99817395,66,0.4696969696969697,False,False
0.004072593,1.5989484e-09,0.04466385,0.0019948594,0.0,0.9967657,64,0.546875,False,False
0.0041101924,3.690893e-09,0.04732318,0.0022394832,0.0,0.9988158,83,0.8072289156626506,False,False
0.004319119,6.317376e-09,0.048124008,0.0023159203,0.0,0.9975183,80,0.6,False,False
0.004702696,2.5353613e-09,0.0472097,0.0022287557,0.0,0.9988439,50,0.68,False,False
0.004176202,3.401723e-08,0.043872364,0.0019247843,0.0,0.9976719,41,0.3170731707317073,True,False
0.004421144,1.0543353e-08,0.041891225,0.0017548748,0.0,0.9969348,33,0.1818181818181818,True,False
0.0045185266,4.1760773e-09,0.043983396,0.0019345393,0.0,0.9987191,40,0.575,False,False
0.0047380268,3.8901704e-09,0.04799983,0.0023039836,0.0,0.9995042,53,0.5471698113207547,False,False
0.004630564,1.7198458e-09,0.04998445,0.0024984453,0.0,0.9968373,68,0.7205882352941176,False,False
0.004158356,3.998643e-09,0.042970493,0.0018464632,0.0,0.9979507,45,0.6666666666666666,False,False
0.0041929996,1.1503161e-09,0.044918355,0.0020176584,0.0,0.9968065,63,0.7777777777777778,False,False
0.003769645,1.4402928e-09,0.040758986,0.001661295,3.6921513000000003e-38,0.9958235,53,0.6792452830188679,False,False
0.003763522,1.0307361e-08,0.03579815,0.0012815077,0.0,0.9920841,29,0.6896551724137931,False,False
0.0039976444,4.2775125e-10,0.043548808,0.0018964987,0.0,0.9976129,60,0.6166666666666667,False,False
0.0038924788,5.7171494e-09,0.044123113,0.0019468492,0.0,0.9969058,65,0.4153846153846154,False,False
0.0031158251,5.9276144e-06,0.027923247,0.0007797077,0.0,0.9776127,9,0.2222222222222222,True,False
0.0034008534,7.577989e-07,0.032069728,0.0010284674,0.0,0.9900269,13,0.2307692307692307,True,False
0.0042589107,2.7156783e-09,0.046067584,0.0021222224,0.0,0.99903435,63,0.6349206349206349,False,False
0.004550911,4.3449835e-09,0.04789928,0.002294341,0.0,0.9981963,58,0.3620689655172414,False,False
0.0048252135,3.494622e-10,0.05694296,0.0032425006,0.0,0.997945,108,0.6666666666666666,False,False
0.004396526,1.6951596e-09,0.04797833,0.0023019202,0.0,0.997086,67,0.7014925373134329,False,False
0.0045599956,3.978299e-10,0.048426077,0.002345085,0.0,0.9996487,57,0.5789473684210527,False,False
0.0050273202,2.2031494e-09,0.04896288,0.0023973638,1.0292235e-38,0.9992126,51,0.5490196078431373,False,False
0.0046887617,1.0211555e-08,0.042776152,0.0018297994,0.0,0.99688107,28,0.7142857142857143,False,False
0.004439093,4.304754e-09,0.04686597,0.002196419,0.0,0.99851763,61,0.6229508196721312,False,False
