mean_score,median_score,std_score,var_score,min_score,max_score,skew_score,kurtosis_score,mean_score_log,median_score_log,std_score_log,var_score_log,min_score_log,max_score_log,skew_score_log,kurtosis_score_log,transform_inlier_ratio,valid_count,has_artefact,has_non_csnp
0.0049266447,4.455205e-09,0.045634307,0.00208249,0.0,0.99691963,14.960577783880376,260.7286512047464,-21.28018,-19.229193,12.168312,148.06781,-134.34483,-0.0030851364,-1.3492338198514957,3.9067219711424,0.3421052631578947,38,False,False
0.005604321,4.847124e-09,0.0538093,0.0028954407,0.0,0.99932784,14.026082023131618,217.64180800004576,-21.502777,-19.14488,13.50073,182.2697,-165.96146,-0.0006723404,-2.3745002972093245,11.597047321645976,0.4827586206896552,58,False,False
0.0050876355,1.5375289e-08,0.051467903,0.002648945,0.0,0.9979679,14.64653188232369,235.62203854833575,-20.670984,-17.990505,13.561081,183.90292,-174.79944,-0.0020341873,-2.542641140388445,10.756023998187636,0.6274509803921569,51,False,False
0.0050236722,9.691394e-09,0.049756303,0.0024756896,0.0,0.9963835,14.788659827903343,245.0180014424004,-20.69524,-18.452028,11.900031,141.61073,-129.43344,-0.0036230087,-1.5169817180323373,4.510617747120012,0.7547169811320755,53,False,False
0.005188422,6.484845e-09,0.053857815,0.002900664,0.0,0.9993155,14.350918535148482,226.1444545267328,-21.127687,-18.853798,13.130123,172.40013,-172.65562,-0.00068473816,-2.922120159579457,17.579974699551176,0.65625,64,False,False
0.0052727256,6.6841017e-09,0.05240415,0.002746195,0.0,0.98961824,14.082119792270504,220.68410528391345,-21.38737,-18.823534,13.222378,174.83128,-150.08951,-0.010436058,-2.270036185786584,9.789374959680552,0.6,55,False,False
0.005067226,6.095652e-09,0.05584696,0.003118883,0.0,0.9957153,14.361670226236903,220.1312371385345,-22.166967,-18.915691,14.575085,212.43309,-175.27708,-0.0042939186,-2.636510839346728,11.959442593706672,0.6835443037974683,79,False,False
0.0051090512,1.5326693e-09,0.05447327,0.0029673371,0.0,0.9984677,14.573566429347055,229.237963083762,-22.305222,-20.296255,12.476452,155.66185,-148.12576,-0.0015335083,-1.3554737488020774,4.078519628251127,0.7058823529411765,68,False,False
0.0052423286,8.847849e-09,0.050915882,0.0025924272,0.0,0.99877626,14.674745229317368,240.3431937933548,-21.299492,-18.543093,13.771621,189.65753,-158.23631,-0.0012245178,-2.098459157592023,8.484609215011034,0.6037735849056604,53,False,False
0.005193743,3.2635072e-09,0.059034027,0.0034850163,0.0,0.99802125,14.19450039014881,211.2870566488438,-23.541395,-19.540462,18.914534,357.75955,-264.05457,-0.0019807816,-4.2958637698837,29.223073062451192,0.7586206896551724,87,False,False
