mean_score,median_score,std_score,var_score,min_score,max_score,valid_count,transform_inlier_ratio
0.0035087916,4.2493946e-09,0.03999726,0.0015997809,0.0,0.99717116,59,0.7288135593220338
0.0031747732,1.8484452e-09,0.038253788,0.0014633522,0.0,0.99511623,66,0.7272727272727273
0.0030728674,3.0598195e-09,0.03574833,0.0012779429,1.87e-42,0.9972496,60,0.5
0.002866559,1.1135151e-08,0.028882904,0.0008342222,2.583944e-39,0.98953664,23,0.7391304347826086
0.0026178064,1.6746515e-09,0.026224498,0.00068772427,0.0,0.99654555,17,0.5294117647058824
0.0026712597,1.8698059e-09,0.03462507,0.0011988954,0.0,0.99907494,80,0.775
0.0028834858,2.2421245e-09,0.036116824,0.0013044248,0.0,0.9993069,82,0.7439024390243902
0.0029928815,3.2214298e-10,0.034739845,0.0012068567,0.0,0.99967146,54,0.8148148148148148
0.003045017,6.83674e-09,0.036817227,0.0013555081,0.0,0.99727,70,0.37142857142857144
0.002958722,1.9252304e-09,0.034704853,0.0012044267,0.0,0.9981645,58,0.5517241379310345
0.003282005,1.4176624e-10,0.035321794,0.0012476293,3.6e-44,0.99885195,47,0.6595744680851063
0.0034069358,2.2066793e-09,0.036566827,0.0013371329,0.0,0.99928355,51,0.6274509803921569
0.0036395455,1.2035107e-09,0.04146896,0.0017196744,0.0,0.99671525,59,0.5084745762711864
0.0039042723,1.7253484e-08,0.04033059,0.0016265563,0.0,0.99785084,46,0.5434782608695652
0.004271674,1.1181578e-08,0.04706187,0.0022148197,2.5382e-41,0.99750453,59,0.3220338983050847
0.0047786287,1.5278218e-08,0.046272602,0.0021411537,0.0,0.99902385,37,0.5945945945945946
0.004960807,8.566583e-08,0.04051926,0.0016418104,0.0,0.9968826,15,0.4666666666666667
0.004128685,1.5930315e-08,0.04480589,0.0020075678,0.0,0.9988439,51,0.6470588235294118
0.0037508681,2.421209e-09,0.03799623,0.0014437134,5.220748e-39,0.99755824,40,0.7
0.003402363,6.6922405e-09,0.043141153,0.001861159,0.0,0.99806595,89,0.8764044943820225
0.00338265,2.3870568e-09,0.03892292,0.0015149937,0.0,0.9969548,62,0.7096774193548387
0.0031847283,4.34854e-09,0.035670947,0.0012724166,1.2599e-40,0.99634075,49,0.5102040816326531
0.003071573,1.5281272e-09,0.036591824,0.0013389615,1.5e-44,0.9980474,63,0.6984126984126984
0.003070025,4.1981263e-09,0.031785328,0.001010307,5.8452e-41,0.9986577,25,0.72
0.003427754,5.2291205e-10,0.043732498,0.0019125312,0.0,0.999132,98,0.6326530612244898
0.0036591827,1.3607949e-08,0.03831944,0.0014683795,1.5005448e-34,0.999094,47,0.7021276595744681
0.00379666,4.7428577e-09,0.040902197,0.0016729898,0.0,0.99776804,48,0.4791666666666667
