,index,mean_score,median_score,std_score,var_score,min_score,max_score,valid_count,transform_inlier_ratio
52,52,0.0044318917,2.0819058e-08,0.04881285,0.0023826945,0.0,0.99703425,73,0.4794520547945205
53,53,0.0043040263,6.137819e-09,0.050675686,0.0025680251,0.0,0.9982015,82,0.45121951219512196
54,54,0.0042703208,2.5577795e-09,0.049317047,0.002432171,0.0,0.9988367,82,0.6585365853658537
55,55,0.004220483,7.9331794e-09,0.04731865,0.0022390545,0.0,0.9969895,76,0.7105263157894737
56,56,0.0042529865,1.4026515e-08,0.04237475,0.0017956194,0.0,0.99824154,47,0.8085106382978723
57,57,0.0043694316,2.3516722e-09,0.046154905,0.0021302751,0.0,0.99648523,60,0.5333333333333333
58,58,0.0044964408,6.422385e-10,0.055200424,0.0030470868,0.0,0.99887824,107,0.5327102803738317
59,59,0.0048111584,1.0561312e-09,0.057099055,0.0032603021,0.0,0.99870384,101,0.8316831683168316
60,60,0.0045074443,9.3092667e-10,0.05470135,0.002992238,0.0,0.9974807,108,0.39814814814814814
61,61,0.0043648207,8.672503e-09,0.043684687,0.0019083518,0.0,0.9971454,53,0.49056603773584906
62,62,0.0045205024,2.231371e-09,0.048777025,0.002379198,0.0,0.9993174,66,0.696969696969697
63,63,0.004777209,6.017436e-10,0.048959278,0.0023970108,0.0,0.99892527,55,0.7454545454545455
64,64,0.0047184066,1.5873741e-09,0.050215133,0.0025215594,6.816e-42,0.99737936,65,0.6615384615384615
65,65,0.0047372445,6.50608e-09,0.044500373,0.0019802833,0.0,0.995373,37,0.6756756756756757
66,66,0.004473025,7.0060677e-09,0.05015632,0.0025156564,0.0,0.99531275,76,0.6052631578947368
67,67,0.003826935,3.5438298e-08,0.041709553,0.0017396867,0.0,0.9951904,52,0.25
68,68,0.0034377705,1.5914836e-07,0.03432898,0.0011784787,1e-45,0.9823355,24,0.375
69,69,0.0041819173,1.7346006e-08,0.041764054,0.0017442362,0.0,0.99697286,38,0.5526315789473685
70,70,0.004636498,4.7316675e-09,0.049304664,0.00243095,0.0,0.99634504,60,0.8666666666666667
71,71,0.004415756,2.7201104e-09,0.045902874,0.002107074,1.3e-44,0.99840295,59,0.6271186440677966
72,72,0.0043604877,2.0176858e-09,0.045222007,0.00204503,0.0,0.9988367,53,0.6037735849056604
73,73,0.004665976,5.2766963e-10,0.056235876,0.0031624737,0.0,0.9993146,105,0.6857142857142857
74,74,0.004449362,1.1436726e-08,0.049883135,0.002488327,0.0,0.99641067,69,0.4057971014492754
75,75,0.004300627,2.0615434e-09,0.049298346,0.002430327,0.0,0.9975782,74,0.47297297297297297
76,76,0.004602331,2.5008506e-09,0.05082369,0.0025830471,0.0,0.9987929,65,0.5538461538461539
77,77,0.004982735,3.0958405e-09,0.049828563,0.0024828855,8e-45,0.9971501,52,0.5
78,78,0.004586346,2.3424603e-08,0.043248523,0.0018704347,0.0,0.99357253,36,0.6388888888888888
79,79,0.0047591506,9.8408695e-09,0.04546194,0.002066788,0.0,0.9988262,38,0.39473684210526316
80,80,0.00518679,1.1008288e-08,0.04987621,0.0024876364,2.2929e-40,0.99739224,49,0.5306122448979592
81,81,0.005222381,1.1144701e-08,0.050251853,0.0025252488,6.01e-43,0.99718773,48,0.5208333333333334
82,82,0.005472682,1.4392967e-08,0.05009017,0.0025090252,0.0,0.9993851,41,0.5609756097560976
83,83,0.0053600054,1.7629489e-08,0.0464143,0.0021542872,1.40989e-40,0.9979427,20,0.5
84,84,0.005110799,3.0261362e-09,0.053577945,0.002870596,0.0,0.9952377,65,0.5538461538461539
85,85,0.004914791,3.3951448e-09,0.049405303,0.0024408838,0.0,0.99761057,55,0.7090909090909091
86,86,0.004883901,3.3061088e-08,0.04520336,0.0020433438,0.0,0.9938431,39,0.5384615384615384
87,87,0.00475843,2.6651303e-08,0.043447517,0.0018876867,0.0,0.9961536,34,0.5588235294117647
88,88,0.0046419883,3.240313e-09,0.05231395,0.0027367494,0.0,0.99909925,77,0.5584415584415584
89,89,0.0047961813,2.0516695e-09,0.05218902,0.0027236938,0.0,0.9987672,72,0.5833333333333334
90,90,0.004586475,5.3764495e-09,0.048979226,0.0023989645,1.0864e-40,0.99500334,62,0.7096774193548387
91,91,0.0043477775,7.5115185e-09,0.048224438,0.0023255963,0.0,0.99843615,70,0.7285714285714285
92,92,0.0045451294,6.2095067e-09,0.046514384,0.0021635878,0.0,0.99536395,53,0.6792452830188679
93,93,0.0041732052,1.1357273e-08,0.044238172,0.001957016,0.0,0.9974589,49,0.7959183673469388
94,94,0.0038750777,6.336593e-09,0.040963158,0.0016779802,0.0,0.99857575,46,0.6521739130434783
95,95,0.004111076,3.4263319e-09,0.044639632,0.0019926967,0.0,0.9982906,57,0.6842105263157895
96,96,0.004337622,1.2958971e-09,0.04167531,0.0017368315,0.0,0.9987196,42,0.7142857142857143
97,97,0.004761243,5.984663e-09,0.050936073,0.0025944836,0.0,0.99845386,62,0.7258064516129032
98,98,0.0052385204,8.2111995e-10,0.054847427,0.0030082401,0.0,0.9979674,63,0.7936507936507936
