,index,mean_score,median_score,std_score,var_score,min_score,max_score,valid_count,transform_inlier_ratio
60,60,0.00412549,5.127381e-09,0.04579086,0.0020968027,0.0,0.99458164,69,0.6231884057971014
61,61,0.0041591534,2.3953302e-09,0.050214365,0.0025214825,0.0,0.99913967,100,0.45
62,62,0.0041383146,1.2566508e-09,0.0515334,0.0026556912,0.0,0.9994623,108,0.6203703703703703
63,63,0.0040865275,3.7903556e-09,0.0446393,0.001992667,0.0,0.9962657,64,0.625
64,64,0.0040854397,6.533534e-10,0.053541325,0.0028666735,0.0,0.9990663,130,0.4461538461538462
65,65,0.0040554735,4.465206e-09,0.049462553,0.0024465441,0.0,0.9968022,98,0.6122448979591837
66,66,0.004057869,6.8243438e-09,0.04515984,0.002039411,0.0,0.99617314,71,0.4084507042253521
67,67,0.003956576,1.7965986e-08,0.04336738,0.0018807296,0.0,0.99575657,63,0.8412698412698413
68,68,0.0039899973,7.443439e-09,0.046087943,0.0021240986,0.0,0.9986244,76,0.5921052631578947
69,69,0.0041262773,1.0881651e-09,0.052773993,0.0027850943,0.0,0.9994708,111,0.38738738738738737
70,70,0.004149265,2.1748217e-10,0.052579727,0.0027646276,0.0,0.9990516,112,0.5892857142857143
71,71,0.0040339194,2.0705828e-09,0.043095063,0.0018571843,0.0,0.9990911,62,0.4838709677419355
72,72,0.003944886,1.639542e-08,0.040779214,0.0016629444,0.0,0.9975363,52,0.5192307692307693
73,73,0.0040971404,4.898217e-09,0.047857653,0.002290355,0.0,0.9958217,76,0.8421052631578947
74,74,0.004490342,3.6492807e-09,0.054071613,0.0029237391,0.0,0.99884236,98,0.4387755102040816
75,75,0.0043073264,3.9061674e-09,0.048335865,0.0023363559,4.98e-42,0.9971417,76,0.7236842105263158
76,76,0.004166105,3.9397894e-09,0.05184145,0.0026875357,0.0,0.9982268,105,0.5428571428571428
77,77,0.0040292847,2.130215e-09,0.050753836,0.0025759519,0.0,0.9965831,99,0.7272727272727273
78,78,0.004097134,3.1990088e-09,0.049879692,0.0024879836,0.0,0.99802357,96,0.8229166666666666
79,79,0.004548146,1.2801118e-09,0.05493315,0.003017651,0.0,0.9984834,106,0.7641509433962265
80,80,0.0043127295,1.4547025e-08,0.04932113,0.0024325738,0.0,0.9977009,78,0.5
81,81,0.004221291,4.3485238e-09,0.05046339,0.0025465537,0.0,0.9993331,91,0.6813186813186813
82,82,0.0038762894,1.0800784e-08,0.04627274,0.0021411665,0.0,0.99452525,81,0.4444444444444444
83,83,0.003714724,1.6967333e-09,0.050170083,0.002517037,0.0,0.999032,130,0.8384615384615385
84,84,0.0038801061,2.4712716e-09,0.039813552,0.001585119,0.0,0.9990411,50,0.66
85,85,0.004196678,8.215123e-10,0.049506567,0.0024509004,0.0,0.9991372,89,0.42696629213483145
86,86,0.0043455185,6.46196e-09,0.05299977,0.0028089755,0.0,0.998282,103,0.3592233009708738
87,87,0.004386114,1.395396e-10,0.053954974,0.002911139,0.0,0.9993331,102,0.39215686274509803
88,88,0.0042547765,1.9061124e-09,0.05349356,0.0028615608,0.0,0.99955285,107,0.3644859813084112
89,89,0.004266141,8.743468e-10,0.052965887,0.0028053853,0.0,0.99735844,111,0.5135135135135135
90,90,0.004033925,1.5097997e-09,0.050240293,0.0025240872,0.0,0.99722296,105,0.47619047619047616
91,91,0.0038755215,7.8388207e-10,0.050362743,0.0025364058,0.0,0.9994251,119,0.6974789915966386
92,92,0.004123254,5.525529e-10,0.050982863,0.0025992522,0.0,0.99974537,105,0.7714285714285715
93,93,0.0040428424,2.3981825e-09,0.050852682,0.0025859955,0.0,0.99796456,104,0.7307692307692307
94,94,0.004092999,2.8564586e-09,0.04265786,0.001819693,0.0,0.99857956,51,0.6862745098039216
95,95,0.0042341254,5.9552485e-10,0.0493234,0.0024327978,0.0,0.9991506,87,0.5287356321839081
96,96,0.0039010844,2.2984032e-09,0.05023759,0.0025238153,0.0,0.99902815,108,0.46296296296296297
97,97,0.0039756005,2.1911424e-09,0.050289523,0.0025290363,0.0,0.9989882,112,0.7946428571428571
98,98,0.0041607986,4.8971236e-09,0.04596952,0.0021131968,0.0,0.995862,71,0.5211267605633803
99,99,0.004128063,1.2533345e-09,0.04945374,0.0024456724,0.0,0.99849856,97,0.8144329896907216
100,100,0.003942608,6.5990395e-09,0.051623903,0.0026650275,0.0,0.9991849,123,0.5609756097560976
101,101,0.004102124,4.0160546e-09,0.04946531,0.002446817,0.0,0.99976164,90,0.5666666666666667
102,102,0.004254902,1.0134807e-09,0.054496676,0.0029698878,0.0,0.9965693,119,0.6134453781512605
103,103,0.004342736,4.545243e-09,0.04267665,0.0018212964,0.0,0.996194,43,0.5348837209302325
104,104,0.00445446,1.6466247e-08,0.04906664,0.0024075352,0.0,0.9950456,80,0.725
105,105,0.0044878935,1.9879671e-08,0.0460725,0.0021226755,0.0,0.99603814,54,0.6666666666666666
106,106,0.0044542896,4.7174784e-09,0.04781105,0.0022858963,0.0,0.99865246,58,0.5689655172413793
107,107,0.004362298,6.265984e-09,0.048887268,0.0023899649,0.0,0.99677086,71,0.6056338028169014
108,108,0.004228091,9.81187e-10,0.053672448,0.0028807318,0.0,0.9970656,117,0.5470085470085471
109,109,0.0043952838,1.6024321e-09,0.0531583,0.0028258052,0.0,0.99839437,105,0.7142857142857143
110,110,0.0040627206,1.9169285e-08,0.043748822,0.0019139594,0.0,0.99813247,56,0.5535714285714286
111,111,0.0038630287,3.3014884e-09,0.040127385,0.001610207,0.0,0.99773335,49,0.3673469387755102
112,112,0.004027493,1.8886217e-09,0.04724944,0.0022325094,0.0,0.99894863,80,0.475
113,113,0.0041658645,8.846454e-09,0.049970433,0.0024970442,0.0,0.9989205,91,0.4835164835164835
114,114,0.004082092,2.3531288e-09,0.04839319,0.002341901,0.0,0.9984586,92,0.4782608695652174
115,115,0.003890588,3.0090477e-09,0.044119876,0.0019465635,0.0,0.9988296,77,0.4155844155844156
